math score,reading score,writing score,placement score,club join year,placement offer count
69,74,60,66,2019,1
64,67,68,63,2020,1
71,60,62,67,2018,1
97,90,74,83,2020,2
76,75,74,67,2020,1
62,61,63,93,2020,1
71,66,72,88,2019,3
51,90,78,64,2021,1
69,75,80,69,2019,1
68,62,94,65,2019,1
65,65,64,79,2018,2
67,69,68,86,2021,3
61,94,70,74,2020,1
78,72,67,85,2020,3
75,69,63,69,2019,1
79,64,62,64,2021,1
38,74,67,62,2018,3
79,63,69,67,2019,1
73,69,63,65,2018,1
76,72,62,92,2018,3
66,78,78,68,2020,1
64,62,61,88,2021,3
77,77,64,83,2020,2
63,69,70,79,2021,2
66,60,68,70,2020,1
63,93,62,66,2021,3
99,60,94,67,2020,1
73,65,73,67,2019,1
67,78,60,61,2021,1
78,80,69,76,2021,2
